file_name,path,spatial_status,spatial_sector_raw,spatial_sector,spatial_overlap_area,spatial_overlap_pct,spatial_overlap_count,spatial_all_matches,spatial_error
GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,34483.353545195736,100.00002326931079,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:96.40|EB2_1:70.51|MonteAranda-NSTC-Km-84p2-a-82p3:7.29|MonteAranda-NSTC-Km-84p2-a-82p3:7.21|MonteAranda-NSTC-Km-84p2-a-82p3:6.72|MonteAranda-NSTC-Km-84p2-a-82p3:6.26|MonteAranda-NSTC-Km-84p2-a-82p3:6.23|MonteAranda-NSTC-Km-84p2-a-82p3:6.10|MonteAranda-NSTC-Km-84p2-a-82p3:5.53|MonteAranda-NSTC-Km-84p2-a-82p3:5.48|MonteAranda-NSTC-Km-84p2-a-82p3:5.32|MonteAranda-NSTC-Km-84p2-a-82p3:4.47,
GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,53874.60643768231,99.99995726658567,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:99.99|EB2:76.25|EB2_1:49.84|MonteAranda-NSTC-Km-84p2-a-82p3:6.82|MonteAranda-NSTC-Km-84p2-a-82p3:6.76|MonteAranda-NSTC-Km-84p2-a-82p3:6.37|MonteAranda-NSTC-Km-84p2-a-82p3:6.01|MonteAranda-NSTC-Km-84p2-a-82p3:5.96|MonteAranda-NSTC-Km-84p2-a-82p3:5.87|MonteAranda-NSTC-Km-84p2-a-82p3:5.18|MonteAranda-NSTC-Km-84p2-a-82p3:5.13|MonteAranda-NSTC-Km-84p2-a-82p3:4.99|MonteAranda-NSTC-Km-84p2-a-82p3:4.46,
GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,46804.070885739144,100.0000097942937,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:86.17|EB2_1:56.20|MonteAranda-NSTC-Km-84p2-a-82p3:7.29|MonteAranda-NSTC-Km-84p2-a-82p3:7.22|MonteAranda-NSTC-Km-84p2-a-82p3:6.79|MonteAranda-NSTC-Km-84p2-a-82p3:6.39|MonteAranda-NSTC-Km-84p2-a-82p3:6.34|MonteAranda-NSTC-Km-84p2-a-82p3:6.24|MonteAranda-NSTC-Km-84p2-a-82p3:5.54|MonteAranda-NSTC-Km-84p2-a-82p3:5.49|MonteAranda-NSTC-Km-84p2-a-82p3:5.33|MonteAranda-NSTC-Km-84p2-a-82p3:4.72,
GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,55149.89164274088,99.99997036180852,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:99.13|EB2_1:61.80|MonteAranda-NSTC-Km-84p2-a-82p3:19.69|MonteAranda-NSTC-Km-84p2-a-82p3:19.67|MonteAranda-NSTC-Km-84p2-a-82p3:19.26|MonteAranda-NSTC-Km-84p2-a-82p3:18.25|MonteAranda-NSTC-Km-84p2-a-82p3:18.14|MonteAranda-NSTC-Km-84p2-a-82p3:18.07|MonteAranda-NSTC-Km-84p2-a-82p3:15.01|MonteAranda-NSTC-Km-84p2-a-82p3:14.97|MonteAranda-NSTC-Km-84p2-a-82p3:14.79|MonteAranda-NSTC-Km-84p2-a-82p3:14.69,
GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,65303.476768428685,100.00002293849175,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:83.72|EB2_1:52.19|MonteAranda-NSTC-Km-84p2-a-82p3:16.63|MonteAranda-NSTC-Km-84p2-a-82p3:16.62|MonteAranda-NSTC-Km-84p2-a-82p3:16.27|MonteAranda-NSTC-Km-84p2-a-82p3:15.41|MonteAranda-NSTC-Km-84p2-a-82p3:15.32|MonteAranda-NSTC-Km-84p2-a-82p3:15.26|MonteAranda-NSTC-Km-84p2-a-82p3:12.68|MonteAranda-NSTC-Km-84p2-a-82p3:12.64|MonteAranda-NSTC-Km-84p2-a-82p3:12.49|MonteAranda-NSTC-Km-84p2-a-82p3:12.41,
GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,31157.060235651115,100.0000013784063,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2_1:78.80|MonteAranda-NSTC-Km-84p2-a-82p3:9.20|MonteAranda-NSTC-Km-84p2-a-82p3:9.10|MonteAranda-NSTC-Km-84p2-a-82p3:8.51|MonteAranda-NSTC-Km-84p2-a-82p3:7.97|MonteAranda-NSTC-Km-84p2-a-82p3:7.92|MonteAranda-NSTC-Km-84p2-a-82p3:7.77|MonteAranda-NSTC-Km-84p2-a-82p3:6.98|MonteAranda-NSTC-Km-84p2-a-82p3:6.92|MonteAranda-NSTC-Km-84p2-a-82p3:6.72|MonteAranda-NSTC-Km-84p2-a-82p3:5.79,
GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,44780.83907161493,99.99994609327061,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:85.82|EB2_1:57.08|MonteAranda-NSTC-Km-84p2-a-82p3:6.84|MonteAranda-NSTC-Km-84p2-a-82p3:6.77|MonteAranda-NSTC-Km-84p2-a-82p3:6.34|MonteAranda-NSTC-Km-84p2-a-82p3:5.95|MonteAranda-NSTC-Km-84p2-a-82p3:5.91|MonteAranda-NSTC-Km-84p2-a-82p3:5.80|MonteAranda-NSTC-Km-84p2-a-82p3:5.19|MonteAranda-NSTC-Km-84p2-a-82p3:5.14|MonteAranda-NSTC-Km-84p2-a-82p3:5.00|MonteAranda-NSTC-Km-84p2-a-82p3:4.35,
GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,41967.0337459557,99.99998805024367,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:88.91|EB2_1:61.36|MonteAranda-NSTC-Km-84p2-a-82p3:7.51|MonteAranda-NSTC-Km-84p2-a-82p3:7.43|MonteAranda-NSTC-Km-84p2-a-82p3:6.97|MonteAranda-NSTC-Km-84p2-a-82p3:6.55|MonteAranda-NSTC-Km-84p2-a-82p3:6.50|MonteAranda-NSTC-Km-84p2-a-82p3:6.39|MonteAranda-NSTC-Km-84p2-a-82p3:5.70|MonteAranda-NSTC-Km-84p2-a-82p3:5.65|MonteAranda-NSTC-Km-84p2-a-82p3:5.49|MonteAranda-NSTC-Km-84p2-a-82p3:4.80,
GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,55158.03337530859,100.00001511797223,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:99.12|EB2_1:61.79|MonteAranda-NSTC-Km-84p2-a-82p3:19.69|MonteAranda-NSTC-Km-84p2-a-82p3:19.67|MonteAranda-NSTC-Km-84p2-a-82p3:19.26|MonteAranda-NSTC-Km-84p2-a-82p3:18.24|MonteAranda-NSTC-Km-84p2-a-82p3:18.14|MonteAranda-NSTC-Km-84p2-a-82p3:18.06|MonteAranda-NSTC-Km-84p2-a-82p3:15.01|MonteAranda-NSTC-Km-84p2-a-82p3:14.97|MonteAranda-NSTC-Km-84p2-a-82p3:14.79|MonteAranda-NSTC-Km-84p2-a-82p3:14.69,
GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,47701.21206735127,99.99998430005427,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:85.80|EB2_1:56.06|MonteAranda-NSTC-Km-84p2-a-82p3:7.59|MonteAranda-NSTC-Km-84p2-a-82p3:7.52|MonteAranda-NSTC-Km-84p2-a-82p3:7.08|MonteAranda-NSTC-Km-84p2-a-82p3:6.69|MonteAranda-NSTC-Km-84p2-a-82p3:6.63|MonteAranda-NSTC-Km-84p2-a-82p3:6.53|MonteAranda-NSTC-Km-84p2-a-82p3:5.77|MonteAranda-NSTC-Km-84p2-a-82p3:5.71|MonteAranda-NSTC-Km-84p2-a-82p3:5.55|MonteAranda-NSTC-Km-84p2-a-82p3:4.96,
